,2017 Pop,2017 Unmarried Women,High School Graduate,Unemployment,Percent Under the Poverty lavel,Mean Income,Sex Ratio,Mean Age,zip code tabulation area
359,10415,36.1,37.6,3.9,9.7,80346,103.4,40.7,03077
360,1408,0.0,25.6,6.3,7.2,94335,97.5,49.6,03084
361,4935,-666666666.0,27.2,6.2,3.1,140664,107.5,43.4,03036
362,15117,19.0,29.6,5.5,3.8,87338,95.3,40.9,03055
363,2517,60.0,28.9,3.1,9.1,77485,122.7,41.1,03216
364,1177,22.0,41.4,7.4,9.2,70955,109.4,50.3,03240
365,804,61.5,27.1,8.2,11.2,82082,103.5,54.6,03241
366,8039,46.7,32.2,4.4,4.4,80253,103.8,42.2,03244
367,704,30.0,42.1,7.1,22.0,63242,107.1,48.0,03279
368,1265,-666666666.0,31.0,2.0,4.1,91235,130.8,47.8,03280
369,8921,0.0,29.6,1.2,5.4,107151,92.3,40.2,03281
370,767,0.0,40.8,7.5,7.8,76396,121.0,51.4,03284
371,4911,15.7,27.1,1.8,1.3,124273,96.2,43.9,03290
372,5403,0.0,42.3,8.7,7.9,82073,81.7,48.8,03307
373,3974,45.5,25.2,4.6,6.2,112766,109.2,50.5,03034
374,2503,56.5,45.0,6.4,9.0,53249,103.8,46.4,03582
375,2683,0.0,36.8,7.7,10.3,72794,103.4,46.4,03585
376,2952,77.8,18.3,1.4,2.1,114699,85.1,47.5,03753
377,1122,-666666666.0,44.5,3.9,8.7,52759,112.1,55.3,03592
378,1939,50.0,29.7,0.7,1.8,119370,99.3,47.6,03781
379,4100,0.0,24.8,2.4,19.3,73820,95.7,44.6,03784
380,2125,100.0,38.4,9.8,15.5,60441,86.6,48.3,03785
381,553,-666666666.0,23.8,1.1,9.9,43589,91.3,53.6,03812
382,4479,58.5,33.1,5.4,3.9,96665,106.0,41.1,03819
